"wilayah","kecamatan","kelurahan","rw","periode_data"
"Jakarta Timur","CAKUNG","JATINEGARA","10","2014"
"Jakarta Timur","CAKUNG","PENGGILINGAN","05","2014"
"Jakarta Timur","CAKUNG","PENGGILINGAN","08","2014"
"Jakarta Timur","CAKUNG","PENGGILINGAN","09","2014"
"Jakarta Timur","CAKUNG","PENGGILINGAN","15","2014"
"Jakarta Timur","CAKUNG","PULO GEBANG","01","2014"
"Jakarta Timur","CAKUNG","PULO GEBANG","02","2014"
"Jakarta Timur","CAKUNG","PULO GEBANG","03","2014"
"Jakarta Timur","CAKUNG","PULO GEBANG","06","2014"
"Jakarta Timur","CAKUNG","PULO GEBANG","07","2014"
"Jakarta Timur","CAKUNG","PULO GEBANG","08","2014"
"Jakarta Timur","CAKUNG","PULO GEBANG","10","2014"
"Jakarta Timur","CAKUNG","PULO GEBANG","11","2014"
"Jakarta Timur","CAKUNG","RAWA TERATE","04","2014"
"Jakarta Timur","CAKUNG","RAWA TERATE","05","2014"
"Jakarta Timur","CAKUNG","RAWA TERATE","06","2014"
"Jakarta Timur","CIPAYUNG","BAMBU APUS","01","2014"
"Jakarta Timur","CIPAYUNG","BAMBU APUS","02","2014"
"Jakarta Timur","CIPAYUNG","BAMBU APUS","03","2014"
"Jakarta Timur","CIPAYUNG","CILANGKAP","02","2014"
"Jakarta Timur","CIPAYUNG","CILANGKAP","03","2014"
"Jakarta Timur","CIPAYUNG","CILANGKAP","04","2014"
"Jakarta Timur","CIPAYUNG","LUBANG BUAYA","03","2014"
"Jakarta Timur","CIPAYUNG","LUBANG BUAYA","10","2014"
"Jakarta Timur","CIPAYUNG","LUBANG BUAYA","12","2014"
"Jakarta Timur","CIPAYUNG","PONDOK RANGGON","01","2014"
"Jakarta Timur","CIPAYUNG","PONDOK RANGGON","04","2014"
"Jakarta Timur","CIPAYUNG","SETU","03","2014"
"Jakarta Timur","CIPAYUNG","SETU","04","2014"
"Jakarta Timur","CIPAYUNG","SETU","05","2014"
"Jakarta Timur","CIPAYUNG","SETU","06","2014"
"Jakarta Timur","CIRACAS","CIBUBUR","01","2014"
"Jakarta Timur","CIRACAS","CIBUBUR","02","2014"
"Jakarta Timur","CIRACAS","CIBUBUR","03","2014"
"Jakarta Timur","CIRACAS","RAMBUTAN","01","2014"
"Jakarta Timur","CIRACAS","RAMBUTAN","02","2014"
"Jakarta Timur","CIRACAS","RAMBUTAN","03","2014"
"Jakarta Timur","CIRACAS","RAMBUTAN","05","2014"
"Jakarta Timur","CIRACAS","RAMBUTAN","06","2014"
"Jakarta Timur","DUREN SAWIT","PONDOK BAMBU","04","2014"
"Jakarta Timur","DUREN SAWIT","PONDOK KELAPA","05","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","01","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","02","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","03","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","04","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","05","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","06","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","07","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","09","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","10","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","11","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","12","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","13","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","14","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","15","2014"
"Jakarta Timur","JATINEGARA","BIDARA CINA","16","2014"
"Jakarta Timur","JATINEGARA","CIPINANG BESAR SELATAN","01","2014"
"Jakarta Timur","JATINEGARA","CIPINANG BESAR SELATAN","02","2014"
"Jakarta Timur","JATINEGARA","CIPINANG MUARA","05","2014"
"Jakarta Timur","JATINEGARA","CIPINANG MUARA","06","2014"
"Jakarta Timur","JATINEGARA","CIPINANG MUARA","07","2014"
"Jakarta Timur","JATINEGARA","CIPINANG MUARA","08","2014"
"Jakarta Timur","JATINEGARA","CIPINANG MUARA","13","2014"
"Jakarta Timur","JATINEGARA","CIPINANG MUARA","15","2014"
"Jakarta Timur","JATINEGARA","CIPINANG MUARA","16","2014"
"Jakarta Timur","JATINEGARA","KAMPUNG MELAYU","01","2014"
"Jakarta Timur","JATINEGARA","KAMPUNG MELAYU","02","2014"
"Jakarta Timur","JATINEGARA","KAMPUNG MELAYU","03","2014"
"Jakarta Timur","JATINEGARA","KAMPUNG MELAYU","04","2014"
"Jakarta Timur","JATINEGARA","KAMPUNG MELAYU","05","2014"
"Jakarta Timur","JATINEGARA","KAMPUNG MELAYU","06","2014"
"Jakarta Timur","JATINEGARA","KAMPUNG MELAYU","07","2014"
"Jakarta Timur","JATINEGARA","KAMPUNG MELAYU","08","2014"
"Jakarta Timur","KRAMAT JATI","BALE KAMBANG","01","2014"
"Jakarta Timur","KRAMAT JATI","BALE KAMBANG","02","2014"
"Jakarta Timur","KRAMAT JATI","BALE KAMBANG","03","2014"
"Jakarta Timur","KRAMAT JATI","BALE KAMBANG","04","2014"
"Jakarta Timur","KRAMAT JATI","BALE KAMBANG","05","2014"
"Jakarta Timur","KRAMAT JATI","CAWANG","01","2014"
"Jakarta Timur","KRAMAT JATI","CAWANG","02","2014"
"Jakarta Timur","KRAMAT JATI","CAWANG","03","2014"
"Jakarta Timur","KRAMAT JATI","CAWANG","04","2014"
"Jakarta Timur","KRAMAT JATI","CAWANG","05","2014"
"Jakarta Timur","KRAMAT JATI","CAWANG","08","2014"
"Jakarta Timur","KRAMAT JATI","CAWANG","12","2014"
"Jakarta Timur","KRAMAT JATI","CILILITAN","05","2014"
"Jakarta Timur","KRAMAT JATI","CILILITAN","06","2014"
"Jakarta Timur","KRAMAT JATI","CILILITAN","07","2014"
"Jakarta Timur","KRAMAT JATI","CILILITAN","08","2014"
"Jakarta Timur","KRAMAT JATI","CILILITAN","15","2014"
"Jakarta Timur","KRAMAT JATI","CILILITAN","16","2014"
"Jakarta Timur","KRAMAT JATI","DUKUH","02","2014"
"Jakarta Timur","KRAMAT JATI","DUKUH","03","2014"
"Jakarta Timur","KRAMAT JATI","DUKUH","04","2014"
"Jakarta Timur","KRAMAT JATI","DUKUH","05","2014"
"Jakarta Timur","KRAMAT JATI","DUKUH","06","2014"
"Jakarta Timur","KRAMAT JATI","KRAMAT JATI","11","2014"
"Jakarta Timur","MAKASAR","CIPINANG MELAYU","02","2014"
"Jakarta Timur","MAKASAR","CIPINANG MELAYU","03","2014"
"Jakarta Timur","MAKASAR","CIPINANG MELAYU","04","2014"
"Jakarta Timur","MAKASAR","CIPINANG MELAYU","05","2014"
"Jakarta Timur","MAKASAR","CIPINANG MELAYU","09","2014"
"Jakarta Timur","MAKASAR","CIPINANG MELAYU","10","2014"
"Jakarta Timur","MAKASAR","CIPINANG MELAYU","11","2014"
"Jakarta Timur","MAKASAR","CIPINANG MELAYU","12","2014"
"Jakarta Timur","MAKASAR","HALIM PERDANA KUSUMA","05","2014"
"Jakarta Timur","MAKASAR","HALIM PERDANA KUSUMA","07","2014"
"Jakarta Timur","MAKASAR","HALIM PERDANA KUSUMA","08","2014"
"Jakarta Timur","MAKASAR","KEBON PALA","01","2014"
"Jakarta Timur","MAKASAR","KEBON PALA","04","2014"
"Jakarta Timur","MAKASAR","KEBON PALA","06","2014"
"Jakarta Timur","MAKASAR","KEBON PALA","08","2014"
"Jakarta Timur","MAKASAR","KEBON PALA","09","2014"
"Jakarta Timur","MAKASAR","KEBON PALA","10","2014"
"Jakarta Timur","MAKASAR","KEBON PALA","11","2014"
"Jakarta Timur","MAKASAR","KEBON PALA","12","2014"
"Jakarta Timur","MAKASAR","MAKASAR","01","2014"
"Jakarta Timur","MAKASAR","MAKASAR","04","2014"
"Jakarta Timur","MAKASAR","MAKASAR","05","2014"
"Jakarta Timur","MAKASAR","MAKASAR","06","2014"
"Jakarta Timur","MAKASAR","MAKASAR","07","2014"
"Jakarta Timur","MAKASAR","PINANG RANTI","04","2014"
"Jakarta Timur","MAKASAR","PINANG RANTI","05","2014"
"Jakarta Timur","MATRAMAN","KEBON MANGGIS","01","2014"
"Jakarta Timur","MATRAMAN","KEBON MANGGIS","02","2014"
"Jakarta Timur","MATRAMAN","KEBON MANGGIS","03","2014"
"Jakarta Timur","MATRAMAN","KEBON MANGGIS","04","2014"
"Jakarta Timur","PASAR REBO","BARU","02","2014"
"Jakarta Timur","PASAR REBO","BARU","06","2014"
"Jakarta Timur","PASAR REBO","BARU","07","2014"
"Jakarta Timur","PASAR REBO","BARU","10","2014"
"Jakarta Timur","PASAR REBO","GEDONG","01","2014"
"Jakarta Timur","PASAR REBO","GEDONG","03","2014"
"Jakarta Timur","PASAR REBO","GEDONG","11","2014"
"Jakarta Timur","PASAR REBO","KALISARI","02","2014"
"Jakarta Timur","PASAR REBO","KALISARI","03","2014"
"Jakarta Timur","PASAR REBO","KALISARI","04","2014"
"Jakarta Timur","PASAR REBO","KALISARI","11","2014"
"Jakarta Timur","PASAR REBO","PEKAYON","01","2014"
"Jakarta Timur","PASAR REBO","PEKAYON","03","2014"
"Jakarta Timur","PASAR REBO","PEKAYON","04","2014"
"Jakarta Timur","PASAR REBO","PEKAYON","07","2014"
"Jakarta Timur","PASAR REBO","PEKAYON","09","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","01","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","02","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","03","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","04","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","05","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","06","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","07","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","08","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","09","2014"
"Jakarta Timur","PULO GADUNG","PULO GADUNG","10","2014"
